neighborhood,latitude,longitude
Stapleton,40.627,-74.078
Sunnyside,40.61305556,-74.10388889
Todt Hill,40.60222222,-74.11222222
Tompkinsville,40.63388889,-74.08583333
Tottenville,40.506,-74.243
Travis,40.59361111,-74.18722222
West New Brighton,40.635,-74.112
Westerleigh,40.61805556,-74.13694444
Willowbrook,40.60333333,-74.13861111
Woodrow,40.54333333,-74.19722222
